,Synonyms,Glossary,Synset in hierarchy,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,A1_Label,Label,A3_Label,A1_Familiar,Familiar,A3_Familiar,A1_Unfamiliar,UnfamiliarANDunsure,A3_Unfamiliar,A1_Notes,Notes,A3_Notes
13,Delicious,variety of sweet eating apples,,,,"[Synset('delicious.n.01'),",,l,l,l,yes,n,,,,,,,
14,Golden_Delicious Yellow_Delicious,a sweet eating apple with yellow skin,,,,,"[Synset('golden_delicious.n.01')],",l,l,l,yes,y,,,,,,,
15,Red_Delicious,a sweet eating apple with bright red skin; most widely grown apple worldwide,,,,,"[Synset('red_delicious.n.01')]],",l,l,l,yes,n,,,,,,,
16,Empire,an eating apple that somewhat resembles a McIntosh; used as both an eating and a cooking apple,,,,"[Synset('empire.n.05')],",,l,l,l,yes,n,,,,,,,
17,Granny_Smith,apple with a green skin and hard tart flesh,,,,"[Synset('granny_smith.n.01')],",,l,l,l,yes,y,,,,,,,
18,Grimes'_golden,yellow apple that ripens in late autumn; eaten raw,,,,"[Synset('grimes'_golden.n.01')],",,l,l,l,yes,n,,,,,,,
19,Jonathan,red late-ripening apple; primarily eaten raw,,,,"[Synset('jonathan.n.01')],",,l,l,l,yes,y,,,,,,,
20,McIntosh,early-ripening apple popular in the northeastern United States; primarily eaten raw but suitable for applesauce,,,,"[Synset('mcintosh.n.01'),",,l,l,l,yes,n,,,,,,,
21,Macoun,similar to McIntosh; juicy and late-ripening,,,,,"[Synset('macoun.n.01')]],",l,l,l,yes,n,,,,,,,
22,Northern_Spy,large late-ripening apple with skin striped with yellow and red,,,,"[Synset('northern_spy.n.01')],",,l,l,l,yes,n,,,,,,,
23,Pearmain,any of several varieties of apples with red skins,,,,"[Synset('pearmain.n.01')],",,l,l,l,yes,n,,,,,,,
24,Pippin,any of numerous superior eating apples with yellow or greenish yellow skin flushed with red,,,,"[Synset('pippin.n.01'),",,l,l,l,yes,n,,,,,,,
25,Cox's_Orange_Pippin,a yellow Pippin with distinctive flavor,,,,,"[Synset('cox's_orange_pippin.n.01')]],",l,l,l,yes,n,,,,,,,
26,Prima,used primarily as eating apples,,,,"[Synset('prima.n.01')],",,l,l,l,yes,n,,,,,,,
27,Stayman,apple grown chiefly in the Shenandoah Valley,,,,"[Synset('stayman.n.01')],",,l,l,l,yes,n,,,,,,,
28,Stayman_Winesap,crisp tart apple; good for eating raw and suitable for cooking,,,,"[Synset('stayman_winesap.n.01')],",,l,l,l,yes,n,,,,,,,
29,Winesap,crisp apple with dark red skin,,,,"[Synset('winesap.n.01')]]],",,l,l,l,yes,n,,,,,,,
30,apricot,downy yellow to rosy-colored fruit resembling a small peach,,"[Synset('apricot.n.02')],",,,,b,b,b,yes,,,,,,,,
31,avocado alligator_pear avocado_pear aguacate,a pear-shaped tropical fruit with green or blackish skin and rich yellowish pulp enclosing a single large seed,,"[Synset('avocado.n.01')],",,,,b,b,b,yes,,,,,,,,
32,banana,elongated crescent-shaped yellow fruit with soft sweet flesh,,"[Synset('banana.n.02')],",,,,b,b,b,yes,,,,,,,,
33,Barbados_gooseberry blade_apple,small yellow to orange fruit of the Barbados gooseberry cactus used in desserts and preserves and jellies,,"[Synset('barbados_gooseberry.n.02')],",,,,l,b,l,no,n,,,x,,unknown to me,I would have  classified this as a type of berry if I had not looked it up,
34,berry,any of numerous small and pulpy edible fruits; used as desserts or in making jams and jellies and preserves,,"[Synset('berry.n.01'),",,,,h,b,h,yes,,,,,,,,
35,acerola barbados_cherry surinam_cherry West_Indian_cherry,acid red or yellow cherry-like fruit of a tropical American shrub very rich in vitamin C,,,"[Synset('acerola.n.02')],",,,l,l,l,no,n ,,x,x,,unknown to me,,Googled and mostly alike with cherries
36,bilberry whortleberry European_blueberry,blue-black berries similar to American blueberries,,,"[Synset('bilberry.n.03')],",,,l,l,l,no,n ,,,,,unknown to me,,Googled and mostly alike with blueberry
37,blackberry,large sweet black or very dark purple edible aggregate fruit of any of various bushes of the genus Rubus,,,"[Synset('blackberry.n.01')],",,,b,l,b,yes,,,,,,basic level would be 'bes',,
38,blueberry,sweet edible dark-blue berries of either low-growing or high-growing blueberry plants,,,"[Synset('blueberry.n.02')],",,,l,l,b,yes,,,,,,basic level would be 'bes',,
39,boysenberry,large raspberry-flavored fruit; cross between blackberries and raspberries,,,"[Synset('boysenberry.n.02')],",,,l,l,l,no,,,x,,,basic level would be 'bes',,Googled and mostly alike with blackberry
40,cranberry,very tart red berry used for sauce or juice,,,"[Synset('cranberry.n.02')],",,,l,l,b,yes,,,,,,basic level would be 'bes',,
41,currant,any of several tart red or black berries used primarily for jellies and jams,,,"[Synset('currant.n.01'),",,,l,l,b,yes,,,,,,basic level would be 'bes',,
42,black_currant,small black berries used in jams and jellies,,,,"[Synset('black_currant.n.02')],",,l,l,l,yes,,,,,,,,
43,gooseberry,currant-like berry used primarily in jams and jellies,,,,"[Synset('gooseberry.n.02')],",,l,l,l,no,,,,,,,,
44,red_currant,small red berries used primarily in jams and jellies,,,,"[Synset('red_currant.n.02')]],",,l,l,l,yes,,,,,,,,
45,dewberry,blackberry-like fruits of any of several trailing blackberry bushes,,,"[Synset('dewberry.n.02')],",,,l,l,l,no,n,,x,,,unknown to me,,
46,huckleberry,blue-black berry similar to blueberries and bilberries of the eastern United States,,,"[Synset('huckleberry.n.03')],",,,l,l,l,no,n,,,,,unknown to me,,
47,lingonberry mountain_cranberry cowberry lowbush_cranberry,tart red berries similar to American cranberries but smaller,,,"[Synset('lingonberry.n.02')],",,,l,l,l,no,n,,,,,unknown to me,,
48,loganberry,large red variety of the dewberry,,,"[Synset('loganberry.n.02')],",,,l,l,l,no,n,,x,,,unknown to me,,
49,mulberry,sweet usually dark purple blackberry-like fruit of any of several mulberry trees of the genus Morus,,,"[Synset('mulberry.n.02')],",,,l,l,b,no,n,,x,,,unknown to me,,
50,persimmon,orange fruit resembling a plum; edible when fully ripe,,,"[Synset('persimmon.n.02')],",,,l,l,b,no,,,x,,,unknown to me,,
51,raspberry,red or black edible aggregate berries usually smaller than the related blackberries,,,"[Synset('raspberry.n.02')],",,,b,l,b,yes,,,,,,,,
52,saskatoon serviceberry shadberry juneberry,edible purple or red berries,,,"[Synset('saskatoon.n.02')],",,,l,l,l,no,n,,,,,unknown to me,,
53,strawberry,sweet fleshy red fruit,,,"[Synset('strawberry.n.01')],",,,b,l,b,yes,,,,,,,,
54,sugarberry hackberry,small edible dark purple to black berry with large pits; southern United States,,,"[Synset('sugarberry.n.02')],",,,l,l,l,no,n,,,,,unknown to me,,
55,wintergreen boxberry checkerberry teaberry spiceberry,spicy red berrylike fruit; source of wintergreen oil,,,"[Synset('wintergreen.n.03')]],",,,l,l,l,no,n,,,,,unknown to me,,
56,breadfruit,a large round seedless or seeded fruit with a texture like bread; eaten boiled or baked or roasted or ground into flour; the roasted seeds resemble chestnuts,,"[Synset('breadfruit.n.02')],",,,,b,b,b,no,n,,x,,,unknown to me,,Googled and mosly alike
57,canistel eggfruit,ovoid orange-yellow mealy sweet fruit of Florida and West Indies,,"[Synset('canistel.n.02')],",,,,b,b,b,no,n,,x,,,unknown to me,,Googled and mosly alike
58,carambola star_fruit,deeply ridged yellow-brown tropical fruit; used raw as a vegetable or in salad or when fully ripe as a dessert,,"[Synset('carambola.n.02')],",,,,b,b,b,no,,,x,,,,,Googled and mosly alike
59,carissa_plum natal_plum,edible scarlet plumlike fruit of a South African plant,,"[Synset('carissa_plum.n.01')],",,,,b,b,l,no,n,,x,x,,unknown to me,I would have classified this as a type of plum if I had not looked it up,I would say plum is b
60,ceriman monstera,tropical cylindrical fruit resembling a pinecone with pineapple-banana flavor,,"[Synset('ceriman.n.02')],",,,,b,b,b,no,n,,x,,,unknown to me,,Googled and mosly alike
61,cherry,a red fruit with a single hard stone,,"[Synset('cherry.n.03'),",,,,b,b,b,yes,,,,,,,,
62,capulin Mexican_black_cherry,Mexican black cherry,,,"[Synset('capulin.n.02')],",,,l,l,l,yes,n,,,,,,,
63,sour_cherry,acid cherries used for pies and preserves,,,"[Synset('sour_cherry.n.03'),",,,l,l,l,yes,n,,,,,,,
64,amarelle,pale red sour cherry with colorless or nearly colorless juice,,,,"[Synset('amarelle.n.02')],",,l,l,l,yes,,,,,,,,
65,morello,cultivated sour cherry with dark-colored skin and juice,,,,"[Synset('morello.n.02')]],",,l,l,l,yes,,,,,,,,
66,sweet_cherry black_cherry,any of several fruits of cultivated cherry trees that have sweet flesh,,,"[Synset('sweet_cherry.n.02'),",,,l,l,l,yes,,,,,,,,
67,bing_cherry,dark red or blackish sweet cherry,,,,"[Synset('bing_cherry.n.01')],",,l,l,l,yes,n,,,,,,,
68,heart_cherry oxheart oxheart_cherry,large heart-shaped sweet cherry with soft flesh,,,,"[Synset('heart_cherry.n.02'),",,l,l,l,yes,n,,,,,,,
69,blackheart blackheart_cherry,heart cherry with dark flesh and skin cherry,,,,,"[Synset('blackheart.n.02')]]]],",l,l,l,yes,n,,,,,,,
70,citrus citrus_fruit citrous_fruit,any of numerous fruits of the genus Citrus having thick rind and juicy pulp; grown in warm regions,,"[Synset('citrus.n.01'),",,,,h,h,h,yes,,,,,,,,
71,citrange,more aromatic and acid tasting than oranges; used in beverages and marmalade,,,"[Synset('citrange.n.02')],",,,l,b,l,no,n,,,x,,unknown to me. Hybrid,,
72,citron,large lemonlike fruit with thick aromatic rind; usually preserved,,,"[Synset('citron.n.01')],",,,b,b,l,no,,,x,,,unknown to me,,
73,grapefruit,large yellow fruit with somewhat acid juicy pulp; usual serving consists of a half,,,"[Synset('grapefruit.n.02')],",,,b,b,b,yes,,,,,,,,
74,kumquat,small oval citrus fruit with thin sweet rind and very acid pulp,,,"[Synset('kumquat.n.02')],",,,b,b,b,no,,,,,,unknown to me. looks like an orange to me.,,
75,lemon,yellow oval fruit with juicy acidic flesh,,,"[Synset('lemon.n.01')],",,,b,b,b,yes,,,,,,,,
76,lime,the green acidic fruit of any of various lime trees,,,"[Synset('lime.n.06'),",,,b,b,b,yes,,,,,,,,
77,key_lime,small yellow-green limes of southern Florida,,,,"[Synset('key_lime.n.01')]],",,l,l,l,yes,n,,,,,,,
78,mandarin mandarin_orange,a somewhat flat reddish-orange loose skinned citrus of China,,,"[Synset('mandarin.n.05'),",,,b,b,b,yes,,,,,,,,
79,clementine,a mandarin orange of a deep reddish orange color and few seeds,,,,"[Synset('clementine.n.02')],",,l,l,l,yes,,,,,,,,
80,satsuma,medium-sized largely seedless mandarin orange with thin smooth skin,,,,"[Synset('satsuma.n.02')],",,l,l,l,yes,n,,,,,,,
81,tangerine,any of various deep orange mandarins grown in the United States and southern Africa,,,,"[Synset('tangerine.n.02')]],",,l,l,l,yes,,,,,,,,
82,orange,round yellow to orange fruit of any of several citrus trees,,,"[Synset('orange.n.01'),",,,b,b,b,yes,,,,,,,,
83,bitter_orange Seville_orange sour_orange,highly acidic orange used especially in marmalade,,,,"[Synset('bitter_orange.n.02')],",,l,l,l,yes,n,,,,,,,
84,sweet_orange,orange with sweet juicy pulp; often has a thin skin,,,,"[Synset('sweet_orange.n.01'),",,l,l,l,yes,,,,,,,,
85,Jaffa_orange,sweet almost seedless orange of Israel,,,,,"[Synset('jaffa_orange.n.01')],",l,l,l,yes,,,,,,,,
86,navel_orange,seedless orange enclosing a small secondary fruit at the apex,,,,,"[Synset('navel_orange.n.01')],",l,l,l,yes,,,,,,,,
87,Valencia_orange,variety of sweet orange cultivated extensively in Florida and California,,,,,"[Synset('valencia_orange.n.01')]],",l,l,l,yes,,,,,,,,
88,temple_orange,large sweet easily-peeled Florida fruit with deep orange rind,,,,"[Synset('temple_orange.n.02')]],",,l,l,l,yes,n,,,,,,,
89,pomelo shaddock,large pear-shaped fruit similar to grapefruit but with coarse dry pulp,,,"[Synset('pomelo.n.02')]],",,,b,b,b,no,,,,,,I would not be able to tell it apart from a grapefruit,,
90,cling clingstone,fruit (especially peach) whose flesh adheres strongly to the pit,,"[Synset('cling.n.01')],",,,,h,h,h,yes,n,,,,,,,
91,cocoa_plum coco_plum icaco,plum-shaped whitish to almost black fruit used for preserves; tropical American,,"[Synset('cocoa_plum.n.02')],",,,,b,b,l,no,n,,x,x,,unknown to me,,I would say plum is b
92,custard_apple,the fruit of any of several tropical American trees of the genus Annona having soft edible pulp,,"[Synset('custard_apple.n.02'),",,,,b,h,b,no,n ,,x,x,,unknown to me,,Googled and looked alike
93,bullock's_heart Jamaica_apple,large heart-shaped tropical fruit with soft acid pulp,,,"[Synset('bullock's_heart.n.02')],",,,l,b,l,yes,n,,,x,,,,Googled and looked like custard apple
94,cherimoya cherimolla,large tropical fruit with leathery skin and soft pulp; related to custard apples,,,"[Synset('cherimoya.n.02')],",,,l,b,l,yes,n,,,x,,,,
95,ilama,whitish tropical fruit with a pinkish tinge related to custard apples; grown in the southern United States,,,"[Synset('ilama.n.02')],",,,l,b,l,yes,n,,,x,,,,
96,pond_apple,ovoid yellow fruit with very fragrant peach-colored flesh; related to custard apples,,,"[Synset('pond_apple.n.02')],",,,l,b,l,yes,n,,,x,,,,
97,soursop guanabana,large spiny tropical fruit with tart pulp related to custard apples,,,"[Synset('soursop.n.02')],",,,l,b,l,yes,n,,,x,,,,
98,sweetsop annon sugar_apple,sweet pulpy tropical fruit with thick scaly rind and shiny black seeds,,,"[Synset('sweetsop.n.02')]],",,,l,b,l,yes,n,,,x,,,,Googled and looked like custard apple
99,date,sweet edible fruit of the date palm with a single long woody seed,,"[Synset('date.n.08')],",,,,b,b,b,yes,,,,,,,,
100,dried_fruit,fruit preserved by drying,,"[Synset('dried_fruit.n.01'),",,,,h,h,h,yes,,,,,,,,
101,dried_apricot,apricots preserved by drying,,,"[Synset('dried_apricot.n.01')],",,,b,l,b,no,,,,,,,,
102,prune,dried plum,,,"[Synset('prune.n.01')],",,,b,l,b,no,,,,,,,,
103,raisin,dried grape,,,"[Synset('raisin.n.01'),",,,b,b,b,yes,,,,,,,I know it is not consitent ...,
104,currant,small dried seedless raisin grown in the Mediterranean region and California; used in cooking,,,,"[Synset('currant.n.03')],",,l,l,l,yes,,,,,,,,
105,seeded_raisin,seeded grape that has been dried,,,,"[Synset('seeded_raisin.n.01')],",,l,l,l,yes,,,,,,,,
106,seedless_raisin sultana,dried seedless grape,,,,"[Synset('seedless_raisin.n.01')]]],",,l,l,l,yes,,,,,,,,
107,durian,huge fruit native to southeastern Asia `smelling like Hell and tasting like Heaven'; seeds are roasted and eaten like nuts,,"[Synset('durian.n.02')],",,,,b,b,b,yes,,,,,,,,Googled and looked alike
108,elderberry,berrylike fruit of an elder used for e.g. wines and jellies,,"[Synset('elderberry.n.02')],",,,,l,b,b,no,n,,,x,,,I would have classified this as a type of berry if I had not looked it up,
109,feijoa pineapple_guava,dark-green kiwi-sized tropical fruit with white flesh; used chiefly for jellies and preserves,,"[Synset('feijoa.n.02')],",,,,b,b,b,no,n,,x,,,unknown to me,,Googled and looked alike
110,fig,fleshy sweet pear-shaped yellowish or purple multiple fruit eaten fresh or preserved or dried,,"[Synset('fig.n.04')],",,,,b,b,b,yes,,,,,,,,
111,freestone,fruit (especially peach) whose flesh does not adhere to the pit,,"[Synset('freestone.n.01')],",,,,h,h,h,yes,n,,,,,,,I would say peach is b
112,garambulla,small berrylike fruit,,"[Synset('garambulla.n.02')],",,,,l,b,l,no,n,,x,,,unkown to me,,
113,genip Spanish_lime,round one-inch Caribbean fruit with green leathery skin and sweet juicy translucent pulp; eaten like grapes,,"[Synset('genip.n.02')],",,,,b,b,b,no,n,,x,,,unknown to me,,Googled and looked alike
114,genipap genipap_fruit,a succulent orange-sized tropical fruit with a thick rind,,"[Synset('genipap.n.01')],",,,,b,b,b,no,n,,x,,,"unknown to me, looks very similar to the genip",,
115,grape,any of various juicy fruit of the genus Vitis with green or purple skins; grow in clusters,,"[Synset('grape.n.01'),",,,,b,b,b,yes,,,,,,,,
116,muscadine bullace_grape,dull-purple grape of southern United States,,,"[Synset('muscadine.n.02'),",,,l,l,l,yes,n,,,,,,,
117,scuppernong,amber-green muscadine grape of southeastern United States,,,,"[Synset('scuppernong.n.01')]],",,l,l,l,yes,n,,,,,,,
118,slipskin_grape,a grape whose skin slips readily from the pulp,,,"[Synset('slipskin_grape.n.01'),",,,l,l,l,yes,n,,,,,,,
119,fox_grape,purplish-black wild grape of the eastern United States with tough skins that slip easily from the flesh; cultivated in many varieties,,,,"[Synset('fox_grape.n.02'),",,l,l,l,yes,n,,,,,,,
120,Catawba,slipskin grape; a reddish American table grape,,,,,"[Synset('catawba.n.02')],",l,l,l,yes,n,,,,,,,
121,Concord_grape,slipskin grape; a purple table grape of the northeastern United States,,,,,"[Synset('concord_grape.n.01')]]],",l,l,l,yes,n,,,,,,,
122,vinifera_grape,grape from a cultivated variety of the common grape vine of Europe,,,"[Synset('vinifera_grape.n.02'),",,,l,l,l,yes,n,,,,,,,
123,emperor,red table grape of California,,,,"[Synset('emperor.n.02')],",,l,l,l,yes,n,,,,,,,
124,muscat muscatel muscat_grape,sweet aromatic grape used for raisins and wine,,,,"[Synset('muscat.n.04')],",,l,l,l,yes,,,,,,,,
125,ribier,dark reddish-purple table grape of California,,,,"[Synset('ribier.n.01')],",,l,l,l,yes,n,,,,,,,
126,sultana,pale yellow seedless grape used for raisins and wine,,,,"[Synset('sultana.n.01')],",,l,l,l,yes,,,,,,,,
127,Thompson_Seedless,seedless green table grape of California,,,,"[Synset('thompson_seedless.n.01')],",,l,l,l,yes,,,,,,,,
128,Tokay,variety of wine grape originally grown in Hungary; the prototype of vinifera grapes,,,,"[Synset('tokay.n.02'),",,l,l,l,yes,,,,,,,,
129,flame_tokay,purplish-red table grape,,,,,"[Synset('flame_tokay.n.01')]]]],",l,l,l,yes,n,,,,,,,
130,guava,tropical fruit having yellow skin and pink pulp; eaten fresh or used for e.g. jellies,,"[Synset('guava.n.03')],",,,,b,b,b,yes,,,,,,,,
131,hog_plum wild_plum,fruit of the wild plum of southern United States,,"[Synset('hog_plum.n.03')],",,,,b,l,l,no,n,,x,,,unknown to me. Not a plum,basic level: plum?,I would say plum is b
132,hog_plum yellow_mombin,yellow oval tropical fruit,,"[Synset('hog_plum.n.04')],",,,,b,b,l,no,n,,x,,,"unknown to me, looks very similar to the other hog plum synset",not a plum in taxonmy,
133,jaboticaba,tough-skinned purple grapelike tropical fruit grown in Brazil,,"[Synset('jaboticaba.n.02')],",,,,b,b,b,no,n,,x,,,unknown to me,,Googled and looked alike
134,jackfruit jak jack,immense East Indian fruit resembling breadfruit; it contains an edible pulp and nutritious seeds that are commonly roasted,,"[Synset('jackfruit.n.02')],",,,,b,b,b,no,,,,,,,,Googled and looked alike
135,jujube Chinese_date Chinese_jujube,dark red plumlike fruit of Old World buckthorn trees,,"[Synset('jujube.n.02')],",,,,b,b,b,no,n,,x,,,unknown to me,,
136,kai_apple,South African fruit smelling and tasting like apricots; used for pickles and preserves,,"[Synset('kai_apple.n.01')],",,,,b,b,b,no,n,,x,,,unknown to me. Not an apple,not an apple,Googled and looked alike
137,ketembilla kitembilla kitambilla,maroon-purple gooseberry-like fruit of India having tart-sweet purple pulp used especially for preserves,,"[Synset('ketembilla.n.02')],",,,,b,b,b,no,n,,x,,,unknown to me,,Looks like berries though - not sure
138,kiwi kiwi_fruit Chinese_gooseberry,fuzzy brown egg-shaped fruit with slightly tart green flesh,,"[Synset('kiwi.n.03')],",,,,b,b,b,yes,,,,,,,,
139,lanseh lansa lansat lanset,East Indian tart yellow berrylike fruit,,"[Synset('lanseh.n.01')],",,,,b,b,b,no,n,,x,,,unknown to me,,Not sure
140,litchi litchi_nut litchee lichi leechee lichee lychee,Chinese fruit having a thin brittle shell enclosing a sweet jellylike pulp and a single seed; often dried,,"[Synset('litchi.n.02')],",,,,b,b,b,yes,,,,,,,,
141,longanberry dragon's_eye,Asian fruit similar to litchi,,"[Synset('longanberry.n.02')],",,,,b,b,l,no,,,x,,,unknown to me. Similar to lanseh and litchi,,Looks like yellow litchi
142,loquat Japanese_plum,yellow olive-sized semitropical fruit with a large free stone and relatively little flesh; used for jellies,,"[Synset('loquat.n.02')],",,,,b,b,b,no,,,x,,,unknown to me. Not a plum,,Googled and looked alike
143,mamey mammee mammee_apple,globular or ovoid tropical fruit with thick russet leathery rind and juicy yellow or reddish flesh,,"[Synset('mamey.n.02')],",,,,b,b,b,no,n,,x,,,unknown to me.,,Googled and looked alike
144,mango,large oval tropical fruit having smooth skin,,"[Synset('mango.n.02')],",,,,b,b,b,yes,,,,,,,,
145,mangosteen,two- to three-inch tropical fruit with juicy flesh suggestive of both peaches and pineapples,,"[Synset('mangosteen.n.02')],",,,,b,b,b,no,n,,x,,,unknown to me.,,Googled and looked alike
146,marang,tropical fruit from the Philippines having a mass of small seeds embedded in sweetish white pulp,,"[Synset('marang.n.02')],",,,,b,b,b,no,n,,x,,,unknown to me.,,Googled and looked alike
147,medlar,a South African globular fruit with brown leathery skin and pithy flesh having a sweet-acid taste,,"[Synset('medlar.n.03')],",,,,b,b,l,no,n,,x,,,unknown to me. Similar to the loquat.,,Googled and looked like loquat
148,medlar,crabapple-like fruit used for preserves,,"[Synset('medlar.n.04')],",,,,b,b,X,no,n,,x,,,unknown to me. different from medlar.n.03. ,,Duplicate
149,melon,any of numerous fruits of the gourd family having a hard rind and sweet juicy flesh,,"[Synset('melon.n.01'),",,,,b,b,b,yes,,,,,,,,
150,melon_ball,a bite of melon cut as a sphere,,,"[Synset('melon_ball.n.01')],",,,l,l,l,yes,,,,,,,,
151,muskmelon sweet_melon,the fruit of a muskmelon vine; any of several sweet melons related to cucumbers,,,"[Synset('muskmelon.n.02'),",,,l,l,l,yes,,,,,,,,
152,cantaloup cantaloupe,the fruit of a cantaloup vine; small to medium-sized melon with yellowish flesh,,,,"[Synset('cantaloup.n.02')],",,l,l,l,yes,,,,,,,,
153,net_melon netted_melon nutmeg_melon,the fruit of a variety of muskmelon vine; a melon with netlike markings and deep green flesh,,,,"[Synset('net_melon.n.02')],",,l,l,l,yes,,,,,,,,
154,winter_melon,the fruit of the winter melon vine; a green melon with pale green to orange flesh that keeps well,,,,"[Synset('winter_melon.n.02'),",,l,l,l,yes,,,,,,,,
155,casaba casaba_melon,melon having yellowish rind and whitish flesh,,,,,"[Synset('casaba.n.01')],",l,l,l,yes,,,,,,,,
156,honeydew honeydew_melon,the fruit of a variety of winter melon vine; a large smooth greenish-white melon with pale green flesh,,,,,"[Synset('honeydew.n.01')],",l,l,l,yes,,,,,,,,
157,Persian_melon,the fruit of a variety of winter melon vine; a large green melon with orange flesh,,,,,"[Synset('persian_melon.n.02')]]],",l,l,l,yes,,,,,,,,
158,watermelon,large oblong or roundish melon with a hard green rind and sweet watery red or occasionally yellowish pulp,,,"[Synset('watermelon.n.02')]],",,,l,l,b,yes,,,,,,,,
159,mombin,purplish tropical fruit,,"[Synset('mombin.n.02')],",,,,b,b,l,no,n,,x,,,unknown to me,,Googled and looked like plum
160,nectarine,a variety or mutation of the peach that has a smooth skin,,"[Synset('nectarine.n.02')],",,,,b,b,b,yes,,,,,,,,
161,papaw pawpaw,fruit with yellow flesh; related to custard apples,,"[Synset('papaw.n.02')],",,,,b,b,l,no,n,,x,,,unknown to me. Related to the custard apple,,
162,papaya,large oval melon-like tropical fruit with yellowish flesh,,"[Synset('papaya.n.02')],",,,,b,b,b,yes,,,,,,,,
163,passion_fruit,egg-shaped tropical fruit of certain passionflower vines; used for sherbets and confectionery and drinks,,"[Synset('passion_fruit.n.01'),",,,,b,b,b,yes,,,,,,,,
164,bell_apple sweet_cup water_lemon yellow_granadilla,the edible yellow fruit of the Jamaica honeysuckle,,,"[Synset('bell_apple.n.01')],",,,l,l,b,yes,n,,,,,,technically not a passionfruit?,Not sure
165,granadilla,the egg-shaped edible fruit of tropical American vines related to passionflowers,,,"[Synset('granadilla.n.04')],",,,l,l,l,yes,n,,,,,,technically not a passionfruit?,Googled and looked like passion fruit
166,sweet_calabash,apple-sized passion fruit of the West Indies,,,"[Synset('sweet_calabash.n.02')]],",,,l,l,l,yes,n,,,,,,technically not a passionfruit?,
167,peach,downy juicy fruit with sweet yellowish or whitish flesh,,"[Synset('peach.n.03')],",,,,b,b,b,yes,,,,,,,,
168,pear,sweet juicy gritty-textured fruit available in many varieties,,"[Synset('pear.n.01'),",,,,b,b,b,yes,,,,,,,,
169,anjou,a pear with firm flesh and a green skin,,,"[Synset('anjou.n.02')],",,,l,l,l,yes,,,,,,,,
170,bartlett bartlett_pear,juicy yellow pear,,,"[Synset('bartlett.n.03')],",,,l,l,l,yes,,,,,,,,
171,bosc,greenish-yellow pear,,,"[Synset('bosc.n.01')],",,,l,l,l,yes,,,,,,,,
172,seckel seckel_pear,small yellowish- to reddish-brown pear,,,"[Synset('seckel.n.01')]],",,,l,l,l,yes,,,,,,,,
173,pineapple ananas,large sweet fleshy tropical fruit with a terminal tuft of stiff leaves; widely cultivated,,"[Synset('pineapple.n.02')],",,,,b,b,b,yes,,,,,,,,
174,pitahaya,highly colored edible fruit of pitahaya cactus having bright red juice; often as large as a peach,,"[Synset('pitahaya.n.02')],",,,,b,b,b,no,n,,x,,,unknown to me.,,Googled and looked alike
175,plum,any of numerous varieties of small to medium-sized round or oval fruit having a smooth skin and a single pit,,"[Synset('plum.n.02'),",,,,b,b,b,yes,,,,,,,,
176,beach_plum,small dark purple fruit used especially in jams and pies,,,"[Synset('beach_plum.n.02')],",,,l,l,l,yes,,,,,,,,
177,damson damson_plum,dark purple plum of the damson tree,,,"[Synset('damson.n.01')],",,,l,l,l,yes,,,,,,,,
