SynsetID,Synsets,SynsMills,Names,NameNoPunctuation,Synonyms_x,Glossary,A1_Label,PossibleNone_x,A2_Label,PossibleNone_y,A3_Label,PossibleNone
46217,Synset('washstand.n.01'),washstand.n.01,washstand,washstand,washstand wash-hand_stand,furniture consisting of a table or stand to hold a basin and pitcher of water for washing: `wash-hand stand' is a British term,l,,l,,l,
55144,Synset('bassinet.n.01'),bassinet.n.01,bassinet,bassinet,bassinet,a basket (usually hooded) used as a baby's bed,l,,l,,l,
55145,Synset('carrycot.n.01'),carrycot.n.01,carrycot,carrycot,carrycot,box-shaped baby bed with handles (for a baby to sleep in while being carried),l,,l,,l,
55146,Synset('cradle.n.01'),cradle.n.01,cradle,cradle,cradle,a baby bed with sides and rockers,l,,l,,l,
55147,Synset('crib.n.01'),crib.n.01,crib,crib,crib cot,baby bed with high sides made of slats,b,,l,,l,
55148,Synset('bed.n.01'),bed.n.01,bed,bed,bed,a piece of furniture that provides a place to sleep,b,,b,,b,
55149,Synset('credenza.n.01'),credenza.n.01,credenza,credenza,credenza credence,a kind of sideboard or buffet,l,,l,,l,
55150,Synset('minibar.n.01'),minibar.n.01,minibar,minibar,minibar cellaret,sideboard with compartments for holding bottles,l,,l,,l,
55151,Synset('china_cabinet.n.01'),china_cabinet.n.01,china_cabinet,china cabinet,china_cabinet china_closet,a cabinet (usually with glass doors) for storing and displaying china,l,,l,,l,
55152,Synset('dresser.n.05'),dresser.n.05,dresser,dresser,dresser,a cabinet with shelves,l,,l,,l,
55153,Synset('medicine_chest.n.01'),medicine_chest.n.01,medicine_chest,medicine chest,medicine_chest medicine_cabinet,cabinet that holds medicines and toiletries,l,,l,,l,
55154,Synset('chiffonier.n.01'),chiffonier.n.01,chiffonier,chiffonier,chiffonier commode,a tall elegant chest of drawers,l,,l,,l,
55155,Synset('highboy.n.01'),highboy.n.01,highboy,highboy,highboy tallboy,a tall chest of drawers divided into two sections and supported on four legs,l,,l,,l,
55156,Synset('lowboy.n.01'),lowboy.n.01,lowboy,lowboy,lowboy,a low chest or table with drawers and supported on four legs,l,,l,,l,
55157,Synset('dining-room_table.n.01'),dining-room_table.n.01,dining-room_table,dining room table,dining-room_table,dining-room furniture consisting of a table on which meals can be served,l,,l,,l,
55158,Synset('floor_lamp.n.01'),floor_lamp.n.01,floor_lamp,floor lamp,floor_lamp,a lamp that stands on the floor,l,,l,,l,
55159,Synset('reading_lamp.n.01'),reading_lamp.n.01,reading_lamp,reading lamp,reading_lamp,a lamp that provides light for reading,l,,l,,l,
55160,Synset('table_lamp.n.01'),table_lamp.n.01,table_lamp,table lamp,table_lamp,a lamp that sits on a table,l,,l,,l,
55161,Synset('file.n.03'),file.n.03,file,file,file file_cabinet filing_cabinet,office furniture consisting of a container for keeping papers in order,l,,l,,l,
55162,Synset('bench.n.01'),bench.n.01,bench,bench,bench,a long seat for more than one person,b,,b,,b,
55163,Synset('bench.n.07'),bench.n.07,bench,bench,bench,(law) the seat for judges in a courtroom,l,x,l,x,l,
55164,Synset('box.n.08'),box.n.08,box,box,box box_seat,the driver's seat on a coach,l,x,l,x,l,
55165,Synset('box_seat.n.01'),box_seat.n.01,box_seat,box seat,box_seat,a special seat in a theater or grandstand box,l,,l,,l,
55166,Synset('chair.n.01'),chair.n.01,chair,chair,chair,"a seat for one person, with a support for the back",b,,b,,b,
55167,Synset('ottoman.n.03'),ottoman.n.03,ottoman,ottoman,ottoman pouf pouffe puff hassock,thick cushion used as a seat,l,,b,,l,
55168,Synset('sofa.n.01'),sofa.n.01,sofa,sofa,sofa couch lounge,an upholstered seat for more than one person,b,,b,,b,
55169,Synset('stool.n.01'),stool.n.01,stool,stool,stool,a simple seat without a back or arms,b,,b,,b,
55170,Synset('toilet_seat.n.01'),toilet_seat.n.01,toilet_seat,toilet seat,toilet_seat,the hinged seat on a toilet,l,,b,,b,
55171,Synset('altar.n.01'),altar.n.01,altar,altar,altar communion_table Lord's_table,the table in Christian churches where communion is given,b,,b,,l,
55172,Synset('booth.n.01'),booth.n.01,booth,booth,booth,a table (in a restaurant or bar) surrounded by two high-backed benches,l,,l,,b,
55173,Synset('breakfast_table.n.01'),breakfast_table.n.01,breakfast_table,breakfast table,breakfast_table,a table where breakfast is eaten,l,,l,,l,
55174,Synset('card_table.n.01'),card_table.n.01,card_table,card table,card_table,a table for playing cards (as in a casino),l,,l,,l,
55175,Synset('card_table.n.02'),card_table.n.02,card_table,card table,card_table,a small light table with folding legs; can be folded for storage,l,,l,,l,
55176,Synset('coffee_table.n.01'),coffee_table.n.01,coffee_table,coffee table,coffee_table cocktail_table,low table where magazines can be placed and coffee or cocktails are served,l,,l,,l,
55177,Synset('conference_table.n.01'),conference_table.n.01,conference_table,conference table,conference_table council_table council_board,the table that conferees sit around as they hold a meeting,l,,l,,l,
55178,Synset('console_table.n.01'),console_table.n.01,console_table,console table,console_table console,a small table fixed to a wall or designed to stand against a wall,l,,l,,l,
55179,Synset('counter.n.01'),counter.n.01,counter,counter,counter,table consisting of a horizontal surface over which business is transacted,l,,l,,b,
55180,Synset('desk.n.01'),desk.n.01,desk,desk,desk,a piece of furniture with a writing surface and usually drawers or other compartments,b,,b,,b,
55181,Synset('dressing_table.n.01'),dressing_table.n.01,dressing_table,dressing table,dressing_table dresser vanity toilet_table,low table with mirror or mirrors where one sits while dressing or applying makeup,l,,l,,l,
55182,Synset('drop-leaf_table.n.01'),drop-leaf_table.n.01,drop-leaf_table,drop leaf table,drop-leaf_table,a table that has a drop-leaf to enlarge its surface,l,,l,,l,
55183,Synset('gaming_table.n.01'),gaming_table.n.01,gaming_table,gaming table,gaming_table,a table used for gambling; may be equipped with a gameboard and slots for chips,l,,h,,l,
55184,Synset('gueridon.n.01'),gueridon.n.01,gueridon,gueridon,gueridon,a small round table,l,,l,,l,
55185,Synset('kitchen_table.n.01'),kitchen_table.n.01,kitchen_table,kitchen table,kitchen_table,a table in the kitchen,l,,l,,l,
55186,Synset('operating_table.n.01'),operating_table.n.01,operating_table,operating table,operating_table,table on which the patient lies during a surgical operation,l,,l,,l,
55187,Synset('parsons_table.n.01'),parsons_table.n.01,parsons_table,parsons table,Parsons_table,a sturdy rectangular table with block legs at the four corners; the top and the legs are the same width,l,,l,,l,
55188,Synset('pedestal_table.n.01'),pedestal_table.n.01,pedestal_table,pedestal table,pedestal_table,a table supported by a single central column,l,,l,,l,
55189,Synset('pier_table.n.01'),pier_table.n.01,pier_table,pier table,pier_table,a low table set below a pier glass,l,,l,,l,
55190,Synset('platen.n.01'),platen.n.01,platen,platen,platen,work table of a machine tool,l,,l,,l,
46130,Synset('pool_table.n.01'),pool_table.n.01,pool_table,pool table,pool_table billiard_table snooker_table,game equipment consisting of a heavy table on which pool is played,b,,b,,b,
55191,Synset('stand.n.04'),stand.n.04,stand,stand,stand,a small table for holding articles of various kinds,l,,l,,b,
55192,Synset('table-tennis_table.n.01'),table-tennis_table.n.01,table-tennis_table,table tennis table,table-tennis_table ping-pong_table pingpong_table,a table used for playing table tennis,b,,b,,b,
55193,Synset('tea_table.n.01'),tea_table.n.01,tea_table,tea table,tea_table,a small table for serving afternoon tea,l,,l,,l,
55194,Synset('trestle_table.n.01'),trestle_table.n.01,trestle_table,trestle table,trestle_table,a table supported on trestles,l,,l,,l,
55195,Synset('worktable.n.01'),worktable.n.01,worktable,worktable,worktable work_table,a table designed for a particular task,h,,h,,l,
55196,Synset('dining_table.n.01'),dining_table.n.01,dining_table,dining table,dining_table board,a table at which meals are served,l,,l,,l,
55197,Synset('entertainment_center.n.01'),entertainment_center.n.01,entertainment_center,entertainment center,entertainment_center,a wall unit containing sound and television systems,l,,l,,l,
55198,Synset('armoire.n.01'),armoire.n.01,armoire,armoire,armoire,a large wardrobe or cabinet; originally used for storing weapons,l,,l,,l,
55199,Synset('clothes_closet.n.01'),clothes_closet.n.01,clothes_closet,clothes closet,clothes_closet clothespress,a closet where clothes are stored,l,,l,,l,
55200,Synset('coat_closet.n.01'),coat_closet.n.01,coat_closet,coat closet,coat_closet,a closet for storing outerwear,l,,l,,l,
61766,Synset('berth.n.03'),berth.n.03,berth,berth,berth bunk built_in_bed,a bed on a ship or train; usually in tiers,l,,l,,l,
61767,Synset('built-in_bed.n.01'),built-in_bed.n.01,built-in_bed,built in bed,built-in_bed,a bed that is built in and fixed to a wall,l,,l,,l,
61768,Synset('bunk.n.03'),bunk.n.03,bunk,bunk,bunk,a rough bed (as at a campsite),l,,l,,b,
61769,Synset('bunk_bed.n.01'),bunk_bed.n.01,bunk_bed,bunk bed,bunk_bed bunk,beds built one above the other,l,,l,,l,
61770,Synset('cot.n.03'),cot.n.03,cot,cot,cot camp_bed,a small bed that folds up for storage or transport,l,,l,,b,
61771,Synset('couch.n.03'),couch.n.03,couch,couch,couch,a narrow bed on which a patient lies during psychiatric or psychoanalytic treatment,b,,l,,b,
61772,Synset('deathbed.n.02'),deathbed.n.02,deathbed,deathbed,deathbed,the bed on which a person dies,l,,l,,l,
61773,Synset('double_bed.n.01'),double_bed.n.01,double_bed,double bed,double_bed,a bed wide enough to accommodate two sleepers,l,,l,,l,
61774,Synset('four-poster.n.01'),four-poster.n.01,four-poster,four poster,four-poster,a bed with posts at the four corners that can be used to support a canopy or curtains,l,,l,,l,
61775,Synset('hammock.n.02'),hammock.n.02,hammock,hammock,hammock sack,a hanging bed of canvas or rope netting (usually suspended between two trees); swings easily,b,,b,,b,
61776,Synset('marriage_bed.n.01'),marriage_bed.n.01,marriage_bed,marriage bed,marriage_bed,the bed shared by a newly wed couple,l,x,l,x,l,
61777,Synset('murphy_bed.n.01'),murphy_bed.n.01,murphy_bed,murphy bed,Murphy_bed,a bed that can be folded or swung into a cabinet when not being used,l,,l,,l,
61778,Synset('plank-bed.n.01'),plank-bed.n.01,plank-bed,plank bed,plank-bed,a bed of boards (without a mattress),l,,l,,l,
61779,Synset('platform_bed.n.01'),platform_bed.n.01,platform_bed,platform bed,platform_bed,a bed without springs,l,,l,,l,
61780,Synset('sickbed.n.01'),sickbed.n.01,sickbed,sickbed,sickbed,the bed on which a sick person lies,l,x,l,x,l,
61781,Synset('single_bed.n.01'),single_bed.n.01,single_bed,single bed,single_bed,a bed for one occupant,l,,l,,l,
61782,Synset('sleigh_bed.n.01'),sleigh_bed.n.01,sleigh_bed,sleigh bed,sleigh_bed,a bed with solid headboard and footboard that roll outward at the top,l,,l,,l,
61783,Synset('trundle_bed.n.01'),trundle_bed.n.01,trundle_bed,trundle bed,trundle_bed trundle truckle_bed truckle,a low bed to be slid under a higher bed,l,,l,,l,
61784,Synset('twin_bed.n.01'),twin_bed.n.01,twin_bed,twin bed,twin_bed,one of a pair of identical beds,l,,l,,l,
61785,Synset('water_bed.n.01'),water_bed.n.01,water_bed,water bed,water_bed,a bed with a mattress made of strong plastic that is filled with water,l,,l,,l,
61786,Synset('student_lamp.n.01'),student_lamp.n.01,student_lamp,student lamp,student_lamp,a reading lamp with a flexible neck; used on a desk,l,,l,,l,
61787,Synset('card_index.n.01'),card_index.n.01,card_index,card index,card_index card_catalog card_catalogue,"an alphabetical listing of items (e.g., books in a library) with a separate card for each item",l,,l,,l,
61788,Synset('vertical_file.n.01'),vertical_file.n.01,vertical_file,vertical file,vertical_file,a file in which records are stored upright on one edge,l,,l,,l,
61789,Synset('banquette.n.01'),banquette.n.01,banquette,banquette,banquette,an upholstered bench,l,,l,,l,
61790,Synset('flat_bench.n.01'),flat_bench.n.01,flat_bench,flat bench,flat_bench,a bench on which a weightlifter lies to do exercises,l,,l,,l,
61791,Synset('park_bench.n.01'),park_bench.n.01,park_bench,park bench,park_bench,a bench in a public park,l,,l,,l,
61792,Synset('penalty_box.n.01'),penalty_box.n.01,penalty_box,penalty box,penalty_box,(ice hockey) an enclosed bench to the side of an ice-hockey rink for players who are serving time penalties,l,x,l,x,l,
61793,Synset('pew.n.01'),pew.n.01,pew,pew,pew church_bench,long bench with backs; used in church by the congregation,l,,l,,l,
61794,Synset('prie-dieu.n.01'),prie-dieu.n.01,prie-dieu,prie dieu,prie-dieu,low bench for kneeling on,l,,l,,l,
61795,Synset('settle.n.01'),settle.n.01,settle,settle,settle settee,a long wooden bench with a back,l,,l,,l,
61796,Synset('window_seat.n.01'),window_seat.n.01,window_seat,window seat,window_seat,a bench or similar seat built into a window recess,l,,l,,l,
61797,Synset('armchair.n.01'),armchair.n.01,armchair,armchair,armchair,chair with a support on each side for arms,l,,l,,l,
61798,Synset('barber_chair.n.01'),barber_chair.n.01,barber_chair,barber chair,barber_chair,a large fixed adjustable chair in which barbers seat their customers,l,,l,,l,
61799,Synset('chair_of_state.n.01'),chair_of_state.n.01,chair_of_state,chair of state,chair_of_state,a ceremonial chair for an exalted or powerful person,l,x,l,x,l,
61800,Synset('chaise_longue.n.01'),chaise_longue.n.01,chaise_longue,chaise longue,chaise_longue chaise daybed,a long chair; for reclining,l,,l,,l,
61801,Synset('eames_chair.n.01'),eames_chair.n.01,eames_chair,eames chair,Eames_chair,a chair designed by Charles Eames; originally made of molded plywood; seat and back shaped to fit the human body,l,,l,,l,
61802,Synset('fighting_chair.n.01'),fighting_chair.n.01,fighting_chair,fighting chair,fighting_chair,a fixed chair from which a saltwater angler can fight a hooked fish,l,,l,,l,
61803,Synset('folding_chair.n.01'),folding_chair.n.01,folding_chair,folding chair,folding_chair,a chair that can be folded flat for storage,l,,l,,l,
61804,Synset('highchair.n.01'),highchair.n.01,highchair,highchair,highchair feeding_chair,a chair for feeding a very young child; has four long legs and a footrest and a detachable tray,l,,l,,b,
61805,Synset('ladder-back.n.01'),ladder-back.n.01,ladder-back,ladder back,ladder-back ladder-back_chair,a chair with a ladder-back,l,,l,,l,
61806,Synset('lawn_chair.n.01'),lawn_chair.n.01,lawn_chair,lawn chair,lawn_chair garden_chair,chair left outside for use on a lawn or in a garden,l,,l,,l,
61807,Synset('rocking_chair.n.01'),rocking_chair.n.01,rocking_chair,rocking chair,rocking_chair rocker,a chair mounted on rockers,l,,l,,b,
61808,Synset('straight_chair.n.01'),straight_chair.n.01,straight_chair,straight chair,straight_chair side_chair,a straight-backed chair without arms,l,,l,,l,
61809,Synset('swivel_chair.n.01'),swivel_chair.n.01,swivel_chair,swivel chair,swivel_chair,a chair that swivels on its base,l,,l,,l,
61810,Synset('tablet-armed_chair.n.01'),tablet-armed_chair.n.01,tablet-armed_chair,tablet armed chair,tablet-armed_chair,a chair with an arm that has been widened for writing,l,,l,,l,
61811,Synset('wheelchair.n.01'),wheelchair.n.01,wheelchair,wheelchair,wheelchair,a movable chair mounted on large wheels; for invalids or those who cannot walk; frequently propelled by the occupant,b,,b,,b,
61812,Synset('convertible.n.03'),convertible.n.03,convertible,convertible,convertible sofa_bed,a sofa that can be converted into a bed,l,,l,,l,
61813,Synset('daybed.n.01'),daybed.n.01,daybed,daybed,daybed divan_bed,an armless couch; a seat by day and a bed by night,l,,l,,l,
61814,Synset('divan.n.01'),divan.n.01,divan,divan,divan,a long backless sofa (usually with pillows against a wall),l,,l,,l,
61815,Synset('love_seat.n.01'),love_seat.n.01,love_seat,love seat,love_seat loveseat tete-a-tete vis-a-vis,small sofa that seats two people,l,,l,,l,
61816,Synset('settee.n.02'),settee.n.02,settee,settee,settee,a small sofa,l,,l,,l,
61817,Synset('squab.n.02'),squab.n.02,squab,squab,squab,a soft padded sofa,l,,l,,l,
61818,Synset('campstool.n.01'),campstool.n.01,campstool,campstool,campstool,a folding stool,l,,l,,l,
61819,Synset('cutty_stool.n.01'),cutty_stool.n.01,cutty_stool,cutty stool,cutty_stool,"a low stool; formerly in Scotland, a seat in a church where an offender was publicly rebuked",l,,l,,l,
61820,Synset('footstool.n.01'),footstool.n.01,footstool,footstool,footstool footrest ottoman tuffet,a low seat or a stool to rest the feet of a seated person,l,,l,,l,
61821,Synset('milking_stool.n.01'),milking_stool.n.01,milking_stool,milking stool,milking_stool,low three-legged stool with a half round seat; used to sit on while milking a cow,l,,l,,l,
61822,Synset('music_stool.n.01'),music_stool.n.01,music_stool,music stool,music_stool piano_stool,a stool for piano players; usually adjustable in height,l,,l,,l,
61823,Synset('step_stool.n.01'),step_stool.n.01,step_stool,step stool,step_stool,a stool that has one or two steps that fold under the seat,l,,l,,l,
61824,Synset('taboret.n.01'),taboret.n.01,taboret,taboret,taboret tabouret,a low stool in the shape of a drum,l,,l,,l,
61825,Synset('bar.n.02'),bar.n.02,bar,bar,bar,a counter where you can obtain food or drink,b,,b,,b,
61826,Synset('checkout.n.03'),checkout.n.03,checkout,checkout,checkout checkout_counter,a counter in a supermarket where you pay for your purchases,b,,b,,b,
61827,Synset('meat_counter.n.01'),meat_counter.n.01,meat_counter,meat counter,meat_counter,counter where meats are displayed for sale,l,,l,,l,
61828,Synset('notions_counter.n.01'),notions_counter.n.01,notions_counter,notions counter,notions_counter,counter where notions are sold,l,,l,,l,
61829,Synset('reception_desk.n.01'),reception_desk.n.01,reception_desk,reception desk,reception_desk,a counter (as in a hotel) where guests are received,l,,l,,l,
61830,Synset('davenport.n.02'),davenport.n.02,davenport,davenport,davenport,a small decorative writing desk,l,,l,,l,
61831,Synset('secretary.n.04'),secretary.n.04,secretary,secretary,secretary writing_table escritoire secretaire,a desk used for writing,l,,l,,l,
61832,Synset('writing_desk.n.02'),writing_desk.n.02,writing_desk,writing desk,writing_desk,a desk for writing (usually with a sloping top),l,,l,,l,
61833,Synset('gateleg_table.n.01'),gateleg_table.n.01,gateleg_table,gateleg table,gateleg_table,a drop-leaf table with the drop-leaves supported by hinged legs,l,,l,,l,
61834,Synset('tilt-top_table.n.01'),tilt-top_table.n.01,tilt-top_table,tilt top table,tilt-top_table tip-top_table tip_table,a pedestal table whose top is hinged so that it can be tilted to a vertical position,l,,l,,l,
61835,Synset('lectern.n.01'),lectern.n.01,lectern,lectern,lectern reading_desk,desk or stand with a slanted top used to hold a text at the proper height for a lecturer,l,,l,,l,
61836,Synset('drafting_table.n.01'),drafting_table.n.01,drafting_table,drafting table,drafting_table drawing_table,a worktable with adjustable top,l,,l,,l,
61837,Synset('workbench.n.01'),workbench.n.01,workbench,workbench,workbench work_bench bench,a strong worktable for a carpenter or mechanic,l,,l,,l,
61838,Synset('dinner_table.n.01'),dinner_table.n.01,dinner_table,dinner table,dinner_table,the dining table where dinner is served and eaten,l,,l,,l,
61839,Synset('high_table.n.01'),high_table.n.01,high_table,high table,high_table,a dining table in a dining-hall raised on a platform; seats are reserved for distinguished persons,l,,l,,l,
61840,Synset('refectory_table.n.01'),refectory_table.n.01,refectory_table,refectory table,refectory_table,a long narrow dining table supported by a stretcher between two trestles,l,,l,,l,
61841,Synset('triclinium.n.02'),triclinium.n.02,triclinium,triclinium,triclinium,a dining table with couches along three sides in ancient Rome,l,,l,,l,
66630,Synset('lower_berth.n.01'),lower_berth.n.01,lower_berth,lower berth,lower_berth lower,the lower of two berths,l,,l,,l,
66631,Synset('upper_berth.n.01'),upper_berth.n.01,upper_berth,upper berth,upper_berth upper,the higher of two berths,l,,l,,l,
66632,Synset('hospital_bed.n.01'),hospital_bed.n.01,hospital_bed,hospital bed,hospital_bed,a single bed with a frame in three sections so the head or middle or foot can be raised as required,l,,l,,b,
66633,Synset('rolodex.n.01'),rolodex.n.01,rolodex,rolodex,Rolodex,"(trademark) a desktop rotary card index with removable cards; usually used for names, addresses, and telephone numbers",l,x,l,,l,
66634,Synset('captain's_chair.n.01'),captains_chair.n.01,captain's_chair,captain's chair,captain's_chair,a wooden armchair with a saddle seat and a low back that has vertical spindles,l,,l,,l,
66635,Synset('easy_chair.n.01'),easy_chair.n.01,easy_chair,easy chair,easy_chair lounge_chair overstuffed_chair,a comfortable upholstered armchair,l,,l,,l,
66636,Synset('fauteuil.n.01'),fauteuil.n.01,fauteuil,fauteuil,fauteuil,an upholstered armchair,l,,l,,l,
66637,Synset('morris_chair.n.01'),morris_chair.n.01,morris_chair,morris chair,Morris_chair,an armchair with an adjustable back,l,,l,,l,
66638,Synset('recliner.n.01'),recliner.n.01,recliner,recliner,recliner reclining_chair lounger,an armchair whose back can be lowered and foot can be raised to allow the sitter to recline in it,l,,l,,l,
66639,Synset('throne.n.01'),throne.n.01,throne,throne,throne,"the chair of state for a monarch, bishop, etc.",b,,b,,l,
66640,Synset('camp_chair.n.01'),camp_chair.n.01,camp_chair,camp chair,camp_chair,a light folding chair,l,,l,,l,
66641,Synset('deck_chair.n.01'),deck_chair.n.01,deck_chair,deck chair,deck_chair beach_chair,a folding chair for use outdoors; a wooden frame supports a length of canvas,l,,l,,l,
66642,Synset('yacht_chair.n.01'),yacht_chair.n.01,yacht_chair,yacht chair,yacht_chair,a light folding armchair for outdoor use,l,,l,,l,
66643,Synset('boston_rocker.n.01'),boston_rocker.n.01,boston_rocker,boston rocker,Boston_rocker,a rocking chair that has a high spindle back and a decorative top panel,l,,l,,l,
66644,Synset('platform_rocker.n.01'),platform_rocker.n.01,platform_rocker,platform rocker,platform_rocker,rocking chair on a stationary base,l,,l,,l,
66645,Synset('shoofly.n.02'),shoofly.n.02,shoofly,shoofly,shoofly,a child's rocking chair with the seat built between two flat sides that are shaped to resemble an animal (such as a swan or duck),l,,l,,l,
66646,Synset('windsor_chair.n.01'),windsor_chair.n.01,windsor_chair,windsor chair,Windsor_chair,straight chair having a shaped seat and a back of many spindles,l,,l,,l,
66647,Synset('bath_chair.n.01'),bath_chair.n.01,bath_chair,bath chair,bath_chair,"a wheelchair usually pushed by an attendant, as at a spa",l,,l,,l,
66648,Synset('motorized_wheelchair.n.01'),motorized_wheelchair.n.01,motorized_wheelchair,motorized wheelchair,motorized_wheelchair,a wheelchair propelled by a motor,l,,l,,l,
66649,Synset('davenport.n.03'),davenport.n.03,davenport,davenport,davenport,a large sofa usually convertible into a bed,l,,l,,l,
66650,Synset('studio_couch.n.01'),studio_couch.n.01,studio_couch,studio couch,studio_couch day_bed,convertible consisting of an upholstered couch that can be converted into a double bed,l,,l,,l,
66651,Synset('cash_bar.n.01'),cash_bar.n.01,cash_bar,cash bar,cash_bar,a counter at a large party where you can purchase drinks by the glass,l,,l,,l,
66652,Synset('oyster_bar.n.01'),oyster_bar.n.01,oyster_bar,oyster bar,oyster_bar,a bar (as in a restaurant) that specializes in oysters prepared in different ways,l,,l,,l,
66653,Synset('salad_bar.n.01'),salad_bar.n.01,salad_bar,salad bar,salad_bar,a bar where diners can assemble a salad to their own taste,l,,l,,l,
66654,Synset('snack_bar.n.01'),snack_bar.n.01,snack_bar,snack bar,snack_bar snack_counter buffet,usually inexpensive bar,l,,l,,l,
66655,Synset('soda_fountain.n.01'),soda_fountain.n.01,soda_fountain,soda fountain,soda_fountain,a counter where ice cream and sodas and sundaes are prepared and served,l,,l,,l,
66656,Synset('sushi_bar.n.01'),sushi_bar.n.01,sushi_bar,sushi bar,sushi_bar,a bar where sushi is served,l,,l,,l,
66657,Synset('wet_bar.n.01'),wet_bar.n.01,wet_bar,wet bar,wet_bar,a bar for mixing drinks that has a sink with running water,l,,l,,l,
66658,Synset('wine_bar.n.01'),wine_bar.n.01,wine_bar,wine bar,wine_bar,a bar that serves only wine,l,,l,,l,
66659,Synset('lab_bench.n.01'),lab_bench.n.01,lab_bench,lab bench,lab_bench laboratory_bench,a workbench in a laboratory,l,,l,,l,
69651,Synset('wing_chair.n.01'),wing_chair.n.01,wing_chair,wing chair,wing_chair,easy chair having wings on each side of a high back,l,,l,,l,
69652,Synset('cathedra.n.01'),cathedra.n.01,cathedra,cathedra,cathedra bishop's_throne,a throne that is the official chair of a bishop,l,,l,,l,
69653,Synset('mercy_seat.n.01'),mercy_seat.n.01,mercy_seat,mercy seat,mercy_seat,the throne of God,l,,l,,l,
69654,Synset('musnud.n.01'),musnud.n.01,musnud,musnud,musnud,a seat with a cushion that is used as a throne by Indian princes,l,,l,,l,
69655,Synset('peacock-throne.n.01'),peacock-throne.n.01,peacock-throne,peacock throne,peacock-throne,the golden throne of former kings of Delhi; stolen by the Persians in 1739 and subsequently lost; symbol of the former Shah of Iran,l,,l,,l,
69656,Synset('chesterfield.n.02'),chesterfield.n.02,chesterfield,chesterfield,chesterfield,an overstuffed davenport with upright armrests,l,,l,,l,
