Synonyms,Glossary,Synset in hierarchy,,,,,,,,,,Label,PossibleNone,Familiar,UnfamiliarANDunsure,Notes
culotte,a divided skirt,,,"[Synset('culotte.n.01')],",,,,,,,,l,,,,
niqab,a face veil covering the lower part of the face (up to the eyes) worn by observant Muslim women,,,,"[Synset('niqab.n.01')]],",,,,,,,l,,,,
chesterfield,a fitted overcoat with a velvet collar,,,,,"[Synset('chesterfield.n.03')],",,,,,,l,,,,
zoot_suit,a flashy suit of extreme cut,,,"[Synset('zoot_suit.n.01')]],",,,,,,,,l,,,,
dirndl,a full skirt with a gathered waistband,,,,"[Synset('dirndl.n.01')]],",,,,,,,l,,,,
crinoline,a full stiff petticoat made of crinoline fabric,,,,"[Synset('crinoline.n.02')]],",,,,,,,l,,,,
sable_coat,a fur coat made of sable furs,,,,,"[Synset('sable_coat.n.01')]],",,,,,,l,,,,
swaddling_clothes swaddling_bands,a garment (a gown or narrow strips of cloth) for an infant,,"[Synset('swaddling_clothes.n.01')],",,,,,,,,,l,,,,
wraparound,a garment (as a dress or coat) with a full length opening; adjusts to the body by wrapping around,,[Synset('wraparound.n.01')]],,,,,,,,,h,,,,
sealskin,a garment (as a jacket or coat or robe) made of sealskin,,"[Synset('sealskin.n.02')],",,,,,,,,,l,,,,
raglan,a garment (coat or sweater) that has raglan sleeves,,"[Synset('raglan.n.01')],",,,,,,,,,l,,,,
reversible,a garment (especially a coat) that can be worn inside out (with either side of the cloth showing),,"[Synset('reversible.n.01')],",,,,,,,,,l,x,,,
trouser,a garment (or part of a garment) designed for or relating to trousers,,"[Synset('trouser.n.02')],",,,,,,,,,b,,,,
legging leging leg_covering,a garment covering the leg (usually extending from the knee to the ankle),,"[Synset('legging.n.01'),",,,,,,,,,b,,,,
skirt,a garment hanging from the waist; worn mainly by girls and women,,"[Synset('skirt.n.02'),",,,,,,,,,b,,,,
camlet,a garment made of camlet fabric,,"[Synset('camlet.n.01')],",,,,,,,,,l,,,,
sackcloth,a garment made of coarse sacking; formerly worn as an indication of remorse,,"[Synset('sackcloth.n.01')],",,,,,,,,,l,,,,
motley,a garment made of motley (especially a court jester's costume),,"[Synset('motley.n.02')],",,,,,,,,,l,,,,
fur,a garment made of the dressed hairy coat of a mammal,,"[Synset('fur.n.03')],",,,,,,,,,h,,,,
kirtle,a garment resembling a tunic that was worn by men in the Middle Ages,,,,,"[Synset('kirtle.n.01')],",,,,,,l,,,,
straitjacket straightjacket,a garment similar to a jacket that is used to bind the arms tightly against the body as a means of restraining a violent person,,"[Synset('straitjacket.n.02')],",,,,,,,,,b,,,,
separate,a garment that can be purchased separately and worn in combinations with other garments,,"[Synset('separate.n.02')],",,,,,,,,,h,x,,,
head_covering veil,a garment that covers the head and face,,"[Synset('head_covering.n.01'),",,,,,,,,,h,,,,
breechcloth breechclout loincloth,a garment that provides covering for the loins,,"[Synset('breechcloth.n.01'),",,,,,,,,,l,,,,
scarf,a garment worn around the head or neck or shoulders for warmth or decoration,,"[Synset('scarf.n.01'),",,,,,,,,,b,,,,
peplos peplus peplum,a garment worn by women in ancient Greece; cloth caught at the shoulders and draped in folds to the waist,,"[Synset('peplos.n.01')],",,,,,,,,,l,,,,
shirt,a garment worn on the upper half of the body,,"[Synset('shirt.n.01'),",,,,,,,,,b,,,,
overgarment outer_garment,a garment worn over other garments,,"[Synset('overgarment.n.01'),",,,,,,,,,h,,,,
undergarment unmentionable,a garment worn under other garments,,"[Synset('undergarment.n.01'),",,,,,,,,,h,,,,
hijab,a headscarf worn by Muslim women; conceals the hair and neck and usually has a face veil that covers the face,,,,,"[Synset('hijab.n.01')],",,,,,,b,,,,
khimar,a headscarf worn by observant Muslim women that hangs down to just above the waist,,,,,"[Synset('khimar.n.01')]],",,,,,,l,,,,
greatcoat overcoat topcoat,a heavy coat worn over clothes in winter,,,,"[Synset('greatcoat.n.01'),",,,,,,,l,,,,
capuchin,a hooded cloak for women,,,,"[Synset('capuchin.n.01')],",,,,,,,l,,,,
dolman dolman_jacket,a hussar's jacket worn over the shoulders,,,,,"[Synset('dolman.n.01')],",,,,,,l,,,,
bomber_jacket,a jacket gathered into a band at the waist,,,,,"[Synset('bomber_jacket.n.01')],",,,,,,l,,,,
Eton_jacket,a jacket hanging to the waist and cut square at the bottom,,,,,"[Synset('eton_jacket.n.01')],",,,,,,l,,,,
double-breasted_jacket,a jacket having fronts that overlap enough for two separate rows of buttons,,,,,"[Synset('double-breasted_jacket.n.01')],",,,,,,l,,,,
single-breasted_jacket,a jacket having fronts that overlap only enough for a single row of buttons,,,,,"[Synset('single-breasted_jacket.n.01')],",,,,,,l,,,,
neckerchief,a kerchief worn around the neck,,,,"[Synset('neckerchief.n.01')]],",,,,,,,l,,,,
headscarf,a kerchief worn over the head and tied under the chin,,,,"[Synset('headscarf.n.01'),",,,,,,,b,,,,
parka windbreaker windcheater anorak,a kind of heavy jacket (`windcheater' is a British term),,,,,"[Synset('parka.n.01'),",,,,,,l,,,,
kilt,a knee-length pleated tartan skirt worn by men as part of the traditional dress in the Highlands of northern Scotland,,,"[Synset('kilt.n.01')],",,,,,,,,b,,,,
opera_cloak opera_hood,a large cloak worn over evening clothes,,,,"[Synset('opera_cloak.n.01')],",,,,,,,l,,,,
lab_coat laboratory_coat,a light coat worn to protect clothing from substances used while working in a laboratory,,,,"[Synset('lab_coat.n.01')],",,,,,,,l,,,,
Mao_jacket,a light weight jacket with a high collar; worn by Mao Zedong and the Chinese people during his regime,,,,,"[Synset('mao_jacket.n.01')],",,,,,,l,,,,
Burberry,a lightweight belted raincoat typically made of tan gabardine with a distinctive tartan lining; named for the original manufacturer,,,,,"[Synset('burberry.n.01')],",,,,,,l,,,,
bed_jacket,a lightweight jacket worn over bedclothes (as when sitting in bed),,,,,"[Synset('bed_jacket.n.01')],",,,,,,l,,,,
fichu,a lightweight triangular scarf worn by a woman,,,"[Synset('fichu.n.01')],",,,,,,,,l,,,,
serape sarape,a long brightly colored shawl; worn mainly by Mexican men,,,,,"[Synset('serape.n.01')]],",,,,,,l,,,,
capote hooded_cloak,a long cloak with a hood that can be pulled over the head,,,,"[Synset('capote.n.02')],",,,,,,,l,,,,
cope,a long cloak; worn by a priest or bishop on ceremonial occasions,,,,"[Synset('cope.n.02')],",,,,,,,l,,,,
newmarket,a long close-fitting coat worn for riding in the 19th century,,,,"[Synset('newmarket.n.01')],",,,,,,,l,,,,
burnous burnoose burnouse,a long hooded cloak woven of wool in one piece; worn by Arabs and Moors,,,,"[Synset('burnous.n.01')],",,,,,,,l,,,,
dhoti,a long loincloth worn by Hindu men,,,"[Synset('dhoti.n.01')]],",,,,,,,,l,,,,
four-in-hand,a long necktie that is tied in a slipknot with one end hanging in front of the other,,,,"[Synset('four-in-hand.n.01')],",,,,,,,l,,,,
capote hooded_coat,a long overcoat with a hood that can be pulled over the head,,,,,"[Synset('capote.n.01')],",,,,,,l,,,,
maxi,a long skirt ending below the calf,,,"[Synset('maxi.n.01')],",,,,,,,,l,,,,
full_skirt,a long skirt gathered at the waist,,,"[Synset('full_skirt.n.01')],",,,,,,,,l,,,,
hobble_skirt,"a long skirt very narrow below the knees, worn between 1910 and 1914",,,"[Synset('hobble_skirt.n.01')],",,,,,,,,l,,,,
feather_boa boa,a long thin fluffy scarf of feathers or fur,,,"[Synset('feather_boa.n.01')],",,,,,,,,l,,,,
kameez,a long tunic worn by many people from the Indian subcontinent (usually with a salwar or churidars),,,,,"[Synset('kameez.n.01')],",,,,,,l,,,,
rebozo,a long woolen or linen scarf covering the head and shoulders (also used as a sling for holding a baby); traditionally worn by Latin-American women,,,"[Synset('rebozo.n.01')],",,,,,,,,l,,,,
dashiki daishiki,a loose and brightly colored African shirt,,,"[Synset('dashiki.n.01')],",,,,,,,,l,,,,
jellaba,a loose cloak with a hood; worn in the Middle East and northern Africa,,,,"[Synset('jellaba.n.01')],",,,,,,,l,,,,
kurta,a loose collarless shirt worn by many people on the Indian subcontinent (usually with a salwar or churidars or pyjama),,,"[Synset('kurta.n.01')],",,,,,,,,l,,,,
banyan banian,a loose fitting jacket; originally worn in India,,,,,"[Synset('banyan.n.02')],",,,,,,l,,,,
bush_jacket,a loose fitting jacket; resembles a shirt with four patch pockets and a belt,,,,,"[Synset('bush_jacket.n.01')],",,,,,,l,,,,
burqa burka,a loose garment (usually with veiled holes for the eyes) worn by Muslim women especially in India and Pakistan,,"[Synset('burqa.n.01')],",,,,,,,,,b,,,,
domino,a loose hooded cloak worn with a half mask as part of a masquerade costume,,,,"[Synset('domino.n.02')],",,,,,,,l,,,,
jumper,a loose jacket or blouse worn by workmen,,,,,"[Synset('jumper.n.06')],",,,,,,b,,,,
surcoat,a loose outer coat usually of rich material,,,,"[Synset('surcoat.n.01')],",,,,,,,l,,,,
cloak,a loose outer garment,,,"[Synset('cloak.n.02'),",,,,,,,,l,,,,
kimono,a loose robe; imitated from robes originally worn by Japanese,,,"[Synset('kimono.n.01')]],",,,,,,,,l,,,,
camise,a loose shirt or tunic; originally worn in the Middle Ages,,,"[Synset('camise.n.01')],",,,,,,,,l,,,,
sarong,a loose skirt consisting of brightly colored fabric wrapped around the body; worn by both women and men in the South Pacific,,,"[Synset('sarong.n.01')]],",,,,,,,,l,,,,
aba,a loose sleeveless outer garment made from aba cloth; worn by Arabs,,,"[Synset('aba.n.01')],",,,,,,,,l,,,,
bathrobe,a loose-fitting robe of towelling; worn after a bath or swim,,,"[Synset('bathrobe.n.01')],",,,,,,,,l,,,,
oilskin slicker,a macintosh made from cotton fabric treated with oil and pigment to make it waterproof,,,,,,"[Synset('oilskin.n.01')]],",,,,,l,,,,
doublet,a man's close-fitting jacket; worn during the Renaissance,,,,,"[Synset('doublet.n.01')],",,,,,,l,,,,
cutaway,a man's coat cut diagonally from the waist to the back of the knees,,,,"[Synset('cutaway.n.02')],",,,,,,,l,,,,
frock_coat,a man's coat having knee-length skirts front and back; worn in the 19th century,,,,"[Synset('frock_coat.n.01'),",,,,,,,l,,,,
Prince_Albert,a man's double-breasted frock coat,,,,,"[Synset('prince_albert.n.02')]],",,,,,,l,,,,
swallow-tailed_coat swallowtail morning_coat,a man's full-dress jacket with two long tapering tails at the back,,,,,"[Synset('swallow-tailed_coat.n.01')]],",,,,,,l,,,,
surtout,a man's overcoat in the style of a frock coat,,,,,"[Synset('surtout.n.01')],",,,,,,l,,,,
vest waistcoat,a man's sleeveless garment worn underneath a coat,,"[Synset('vest.n.01'),",,,,,,,,,b,,,,
bow_tie bow-tie bowtie,a man's tie that ties in a bow,,,,"[Synset('bow_tie.n.01'),",,,,,,,l,,,,
dress_shirt evening_shirt,a man's white shirt (with a starch front) for evening wear (usually with a tuxedo),,,"[Synset('dress_shirt.n.01')],",,,,,,,,l,,,,
trench_coat,a military style raincoat; belted with deep pockets,,,,,"[Synset('trench_coat.n.01')]],",,,,,,l,,,,
toga,a one-piece cloak worn by men in ancient Rome,,,,"[Synset('toga.n.01'),",,,,,,,b,,,,
romper romper_suit,a one-piece garment for children to wear at play; the lower part is shaped like bloomers,,"[Synset('romper.n.02')],",,,,,,,,,l,,,,
body_stocking,a one-piece tight-fitting undergarment for women that covers the torso (and may have sleeves and legs),,,"[Synset('body_stocking.n.01')],",,,,,,,,l,,,,
salwar shalwar,a pair of light loose trousers with a tight fit around the ankles; worn by women from the Indian subcontinent (usually with a kameez),,,"[Synset('salwar.n.01')],",,,,,,,,l,,,,
pajama pyjama,a pair of loose trousers tied by a drawstring around the waist; worn by men and women in some Asian countries,,,"[Synset('pajama.n.01')],",,,,,,,,b,,,,
pants_suit pantsuit,a pair of pants and a matching jacket worn by women,,,,"[Synset('pants_suit.n.01')]],",,,,,,,l,,,,
ski_parka ski_jacket,a parka to be worn while skiing,,,,,,"[Synset('ski_parka.n.01')]],",,,,,l,,,,
face_veil,a piece of more-or-less transparent material that covers the face,,,"[Synset('face_veil.n.01'),",,,,,,,,h,,,,
Levi's levis,a popular brand of jeans,,,,"[Synset('levi's.n.01')]],",,,,,,,l,,,,
dressing_gown robe-de-chambre lounging_robe,a robe worn before dressing or while lounging,,,"[Synset('dressing_gown.n.01')],",,,,,,,,l,,,,
pea_jacket peacoat,a sailor's heavy woolen double-breasted jacket,,,,,"[Synset('pea_jacket.n.01')],",,,,,,l,,,,
sable,a scarf (or trimming) made of sable,,,"[Synset('sable.n.04')],",,,,,,,,l,,,,
lambrequin,a scarf that covers a knight's helmet,,,"[Synset('lambrequin.n.01')],",,,,,,,,l,,,,
tudung,a scarf worn around the head by Muslim women in Malaysia; conceals the hair but not the face,,,"[Synset('tudung.n.01')]],",,,,,,,,l,,,,
muffler,a scarf worn around the neck,,,"[Synset('muffler.n.02')],",,,,,,,,l,,,,
patka,a scarf worn by Sikh men,,,"[Synset('patka.n.01')],",,,,,,,,l,,,,
suit suit_of_clothes,a set of garments (usually including a jacket and trousers or skirt) for outerwear all of the same fabric and color,,"[Synset('suit.n.01'),",,,,,,,,,b,,,,
polo_shirt sport_shirt,a shirt with short sleeves designed for comfort and casual wear,,,"[Synset('polo_shirt.n.01')],",,,,,,,,l,,,,
coatee,a short close-fitting coat,,,,"[Synset('coatee.n.01')],",,,,,,,l,,,,
jacket,a short coat,,,,"[Synset('jacket.n.01'),",,,,,,,b,,,,
box_coat,a short coat that hangs loosely from the shoulders,,,,"[Synset('box_coat.n.01')],",,,,,,,l,,,,
bolero,a short jacket; worn mostly by women,,,,,"[Synset('bolero.n.02')],",,,,,,l,,,,
chlamys,a short mantle or cape fastened at the shoulder; worn by men in ancient Greece,,,,,"[Synset('chlamys.n.02')],",,,,,,l,,,,
mackinaw Mackinaw_coat,a short plaid coat made of made of thick woolen material,,,,"[Synset('mackinaw.n.01')],",,,,,,,l,,,,
tabard,a short sleeveless outer tunic emblazoned with a coat of arms; worn by a knight over his armor or by a herald,,,,,"[Synset('tabard.n.01')]],",,,,,,l,,,,
camisole underbodice,a short sleeveless undergarment for women,,,"[Synset('camisole.n.01')],",,,,,,,,l,,,,
donkey_jacket,a short thick jacket; often worn by workmen,,,,,"[Synset('donkey_jacket.n.01')],",,,,,,l,,,,
lumberjack lumber_jacket,a short warm outer jacket,,,,,"[Synset('lumberjack.n.02')],",,,,,,l,,,,
lavalava,a skirt consisting of a rectangle of calico or printed cotton; worn by Polynesians (especially Samoans),,,"[Synset('lavalava.n.01')],",,,,,,,,l,,,,
grass_skirt,a skirt made of long blades of grass,,,"[Synset('grass_skirt.n.01')],",,,,,,,,l,,,,
hoopskirt crinoline,a skirt stiffened with hoops,,,"[Synset('hoopskirt.n.01')],",,,,,,,,l,,,,
gathered_skirt,a skirt whose fabric is drawn together around the waist,,,"[Synset('gathered_skirt.n.01'),",,,,,,,,l,,,,
pelisse,a sleeveless cape that is lined or trimmed with fur,,,,,"[Synset('pelisse.n.01')],",,,,,,l,,,,
cape mantle,a sleeveless garment like a cloak but shorter,,,,"[Synset('cape.n.02'),",,,,,,,b,,,,
gymslip,a sleeveless tunic worn by English girls as part of a school uniform,,,,,"[Synset('gymslip.n.01')],",,,,,,l,,,,
kerchief,a square scarf that is folded into a triangle and worn over the head or about the neck,,,"[Synset('kerchief.n.01'),",,,,,,,,l,,,,
puttee,a strip of cloth wound around the leg to form legging; used by soldiers in World War I,,,"[Synset('puttee.n.01')],",,,,,,,,l,,,,
single-breasted_suit,a suit having a single-breasted jacket,,,"[Synset('single-breasted_suit.n.01')],",,,,,,,,l,,,,
pinstripe,a suit made from a fabric with very thin stripes,,,"[Synset('pinstripe.n.01')],",,,,,,,,l,,,,
business_suit,a suit of clothes traditionally worn by businessmen,,,"[Synset('business_suit.n.01'),",,,,,,,,l,,,,
double-breasted_suit,a suit with a double-breasted jacket,,,"[Synset('double-breasted_suit.n.01')],",,,,,,,,l,,,,
turtleneck turtle polo-neck,a sweater or jersey with a high close-fitting collar,,,,"[Synset('turtleneck.n.01')]],",,,,,,,l,,,,
turtleneck turtle polo-neck,a sweater or jersey with a high close-fitting collar,,,"[Synset('turtleneck.n.01')]],",,,,,,,,l,,,,
pullover slipover,a sweater that is put on by pulling it over the head,,,"[Synset('pullover.n.01'),",,,,,,,,l,,,,
jerkin,a tight sleeveless and collarless jacket (often made of leather) worn by men in former times,,,,,"[Synset('jerkin.n.01')],",,,,,,l,,,,
leotard unitard body_suit cat_suit,a tight-fitting garment of stretchy material that covers the body from the shoulders to the thighs (and may have long sleeves or legs reaching down to the ankles); worn by ballet dancers and acrobats for practice or performance,,"[Synset('leotard.n.01')],",,,,,,,,,b,,,,
tank_top,a tight-fitting sleeveless shirt with wide shoulder straps and low neck and no front opening; often worn over a shirt or blouse,,,"[Synset('tank_top.n.01')],",,,,,,,,l,,,,
surcoat,a tunic worn over a knight's armor,,,,,"[Synset('surcoat.n.02')],",,,,,,l,,,,
string_tie,a very narrow necktie usually tied in a bow,,,,"[Synset('string_tie.n.01')],",,,,,,,l,,,,
miniskirt mini,a very short skirt,,,"[Synset('miniskirt.n.01')],",,,,,,,,l,,,,
bulletproof_vest,a vest capable of resisting the impact of a bullet,,,"[Synset('bulletproof_vest.n.01')]],",,,,,,,,l,,,,
izar,a voluminous cotton outer garment (usually white) traditionally worn by Muslim women of northern Africa and the Middle East; covers the entire body,,,"[Synset('izar.n.01')],",,,,,,,,l,,,,
duffel_coat duffle_coat,a warm coat made of duffel; usually has a hood and fastens with toggles,,,,"[Synset('duffel_coat.n.01')],",,,,,,,l,,,,
raincoat waterproof,a water-resistant coat,,,,"[Synset('raincoat.n.01'),",,,,,,,l,,,,
macintosh mackintosh mac mack,a waterproof raincoat made of rubberized fabric,,,,,"[Synset('macintosh.n.02'),",,,,,,l,,,,
garter_belt suspender_belt,a wide belt of elastic with straps hanging from it; worn by women to hold up stockings,,,"[Synset('garter_belt.n.01')],",,,,,,,,l,,,,
Windsor_tie,a wide necktie worn in a loose bow,,,,"[Synset('windsor_tie.n.01')]]],",,,,,,,l,,,,
stole,a wide scarf worn about their shoulders by women,,,"[Synset('stole.n.01')],",,,,,,,,l,,,,
dolman,a woman's cloak with dolman sleeves,,,,"[Synset('dolman.n.02')],",,,,,,,l,,,,
corset girdle stays,a woman's close-fitting foundation garment,,,,"[Synset('corset.n.01'),",,,,,,,b,,,,
hug-me-tight,a woman's fitted jacket,,,,,"[Synset('hug-me-tight.n.01')],",,,,,,l,,,,
roll-on,a woman's foundation garment rolled on to the hips,,,,"[Synset('roll-on.n.02')]],",,,,,,,l,,,,
sack sacque,a woman's full loose hiplength jacket,,,,,"[Synset('sack.n.05')],",,,,,,l,,,,
tippet,a woman's fur shoulder cape with hanging ends; often consisting of the whole fur of a fox or marten,,,,,"[Synset('tippet.n.01')]],",,,,,,l,,,,
babushka,a woman's headscarf folded into a triangle and tied under the chin; worn by Russian peasant women,,,,,"[Synset('babushka.n.01')],",,,,,,l,,,,
dressing_sack dressing_sacque,a woman's loose jacket; worn while dressing,,,,,"[Synset('dressing_sack.n.01')],",,,,,,l,,,,
maillot tank_suit,a woman's one-piece bathing suit,,,"[Synset('maillot.n.01')],",,,,,,,,l,,,,
topper,a woman's short coat,,,,"[Synset('topper.n.05')]],",,,,,,,l,,,,
mantilla,a woman's silk or lace scarf,,,"[Synset('mantilla.n.01')],",,,,,,,,l,,,,
chemise shimmy shift slip teddy,a woman's sleeveless undergarment,,,"[Synset('chemise.n.01')],",,,,,,,,l,,,,
panty_girdle,a woman's undergarment that combines a girdle and panties,,,,,"[Synset('panty_girdle.n.01')]],",,,,,,l,,,,
foundation_garment foundation,a woman's undergarment worn to give shape to the contours of the body,,,"[Synset('foundation_garment.n.01'),",,,,,,,,l,,,,
bikini two-piece,a woman's very brief bathing suit,,,"[Synset('bikini.n.02')],",,,,,,,,b,,,,
chiton,a woolen tunic worn by men and women in ancient Greece,,,,,"[Synset('chiton.n.01')],",,,,,,l,,,,
garment,an article of clothing,"[Synset('garment.n.01'),",,,,,,,,,,h,,,,
neckcloth stock,an ornamental white cravat,,,,"[Synset('neckcloth.n.01')]],",,,,,,,l,,,,
haik haick,an outer garment consisting of a large piece of white cloth; worn by men and women in northern Africa,,"[Synset('haik.n.01')],",,,,,,,,,l,,,,
coat,an outer garment that has sleeves and covers the body from shoulder down; worn outdoors,,,"[Synset('coat.n.01'),",,,,,,,,b,,,,
overskirt,an outer skirt worn over another skirt,,,"[Synset('overskirt.n.01')],",,,,,,,,l,,,,
hair_shirt,an uncomfortable shirt made of coarse animal hair; worn next to the skin as a penance,,,"[Synset('hair_shirt.n.01')],",,,,,,,,l,,,,
underpants,an undergarment that covers the body from the waist no further than to the thighs; usually worn next to the skin,,,"[Synset('underpants.n.01'),",,,,,,,,l,,,,
long_underwear union_suit,an undergarment with shirt and drawers in one piece,,,"[Synset('long_underwear.n.01')],",,,,,,,,l,,,,
brassiere bra bandeau,an undergarment worn by women to support their breasts,,,"[Synset('brassiere.n.01'),",,,,,,,,b,,,,
robe,any loose flowing garment,,"[Synset('robe.n.01'),",,,,,,,,,b,,,,
tunic,any of a variety of loose fitting cloaks extending to the hips or knees,,,,"[Synset('tunic.n.02'),",,,,,,,l,,,,
neckwear,articles of clothing worn about the neck,,"[Synset('neckwear.n.01'),",,,,,,,,,h,,,,
white_tie,bow tie worn as part of a man's formal evening dress,,,,,"[Synset('white_tie.n.01')]],",,,,,,l,,,,
buckskins,breeches made of buckskin,,,,"[Synset('buckskins.n.01')],",,,,,,,l,,,,
slack_suit,casual dress consisting of slacks and matching jacket,,,"[Synset('slack_suit.n.01'),",,,,,,,,l,,,,
shawl,cloak consisting of an oblong piece of cloth used to cover the head and shoulders,,,,"[Synset('shawl.n.01'),",,,,,,,b,,,,
pallium,cloak or mantle worn by men in ancient Rome,,,,"[Synset('pallium.n.04')],",,,,,,,l,,,,
wrap wrapper,cloak that is folded or wrapped around a person,,,,"[Synset('wrap.n.01')]],",,,,,,,l,,,,
sweatshirt,cotton knit pullover with long sleeves worn during athletic activity,,,,"[Synset('sweatshirt.n.01')]],",,,,,,,b,,,,
cords corduroys,cotton trousers made of corduroy cloth,,,"[Synset('cords.n.01')],",,,,,,,,l,,,,
jodhpurs jodhpur_breeches riding_breeches,flared trousers ending at the calves; worn with riding boots,,,"[Synset('jodhpurs.n.01')],",,,,,,,,l,,,,
mink mink_coat,fur coat made from the soft lustrous fur of minks,,,,,"[Synset('mink.n.02')],",,,,,,l,,,,
diaper nappy napkin,garment consisting of a folded cloth drawn up between the legs and fastened at the waist; worn by infants to catch excrement,,"[Synset('diaper.n.01')],",,,,,,,,,b,,,,
scapular scapulary,garment consisting of a long wide piece of woolen cloth worn over the shoulders with an opening for the head; part of a monastic habit,,"[Synset('scapular.n.02')],",,,,,,,,,l,,,,
stomacher,garment consisting of a V-shaped panel of stiff material worn over the chest and stomach in the 16th century,,"[Synset('stomacher.n.01')],",,,,,,,,,l,,,,
sweat_suit sweatsuit sweats workout_suit,garment consisting of sweat pants and a sweatshirt,,"[Synset('sweat_suit.n.01')],",,,,,,,,,b,,,,
ironing,garments (clothes or linens) that are to be (or have been) ironed,,"[Synset('ironing.n.01'),",,,,,,,,,h,x,,,
laundry wash washing washables,garments or white goods that can be cleaned by laundering,,"[Synset('laundry.n.01')],",,,,,,,,,h,x,,,
mending,garments that must be repaired,,"[Synset('mending.n.01')],",,,,,,,,,h,x,,,
work-shirt,heavy-duty shirts worn for manual or physical work,,,"[Synset('work-shirt.n.01')]],",,,,,,,,l,,,,
britches,informal term for breeches,,,,"[Synset('britches.n.01')],",,,,,,,l,,,,
flatwork flat_wash,ironing that can be done mechanically,,,"[Synset('flatwork.n.01')]],",,,,,,,,l,x,,,
cardigan,knitted jacket that is fastened up the front with buttons or a zipper,,,"[Synset('cardigan.n.01')],",,,,,,,,b,,,,
lederhosen,leather shorts often worn with suspenders; worn especially by men and boys in Bavaria,,,,"[Synset('lederhosen.n.01')]],",,,,,,,b,,,,
gaiter,legging consisting of a cloth or leather covering for the leg from the knee to the ankle,,,"[Synset('gaiter.n.03')],",,,,,,,,l,,,,
